"richness","grain","height","salinity"
0,450,2.255,27.1
2,370,0.865,27.1
8,192.5,1.19,29.6
13,194.5,-1.336,29.4
17,197,-1.334,29.6
10,200,-1.036,29.4
10,202,-0.684,29.4
9,205.5,0.82,29.6
19,205.5,0.061,29.6
8,211.5,0.635,29.6
11,221,0.616,29.4
11,222.5,0.045,29.4
3,223,-0.002,27.1
1,234,1.375,27.4
3,242,-0.06,27.4
7,244.5,-0.356,27.1
11,247.5,0.094,27.1
3,251.5,1.117,29.9
6,254.5,0.054,29.9
0,256.5,1.627,29.9
1,256.5,1.786,27.4
22,180,-0.503,29.9
2,266,0.883,27.4
1,272.5,1.494,27.9
6,275.5,0.729,29.9
4,284,0.367,27.4
1,289.5,1.367,28.1
1,293.5,1.768,28.1
3,294.5,1.671,26.4
4,296.5,-0.201,27.9
4,297,-0.811,28.1
3,304,-0.482,27.9
0,311.5,2.052,26.4
5,316.5,-0.375,26.4
3,323.5,0.167,27.9
6,330.5,-0.976,27.9
3,330.5,0.46,28.1
6,336,-0.893,27.1
1,347.5,2.222,27.1
5,351,-0.578,27.1
4,354.5,0.766,27.1
7,355,-1.005,26.4
3,361,-0.03,28.1
5,362,0.17,26.4
4,405.5,-0.348,27.1
